offer ($),clients reduction (W),H,motor
3.75,59889.0,15880.352,0.0
3.775,59928.0,15875.477,0.0
3.8,59928.0,15875.477,0.0
3.825,60122.0,15851.227,0.0
3.85,60312.0,15827.477,0.0
3.875,60312.0,15827.477,0.0
3.9,60312.0,15827.477,0.0
3.925,60312.0,15827.477,0.0
3.95,60312.0,15827.477,0.0
3.975,60346.0,15823.227,0.0
4.0,60346.0,15823.227,0.0
4.025,60346.0,15823.227,0.0
4.05,60346.0,15823.227,0.0
4.075,60346.0,15823.227,0.0
4.1,60548.0,15797.977,0.0
4.125,60548.0,15797.977,0.0
4.15,60613.0,15789.852,0.0
4.175,60666.0,15783.227,0.0
4.2,60679.0,15781.602,0.0
4.225,60679.0,15781.602,0.0
4.25,60782.0,15768.727,0.0
4.275,60976.0,15744.477,0.0
4.3,60976.0,15744.477,0.0
4.325,61006.0,15740.727,0.0
4.35,61013.0,15739.852,0.0
4.375,61013.0,15739.852,0.0
4.4,61013.0,15739.852,0.0
4.425,61013.0,15739.852,0.0
4.45,61079.0,15731.602,0.0
4.475,61143.0,15723.602,0.0
4.5,61182.0,15718.727,0.0
4.525,61228.0,15712.977,0.0
4.55,61228.0,15712.977,0.0
4.575,61228.0,15712.977,0.0
4.6,61228.0,15712.977,0.0
4.625,61270.0,15707.727,0.0
4.65,61295.0,15704.602,0.0
4.675,61387.0,15693.102,0.0
4.7,61387.0,15693.102,0.0
4.725,61387.0,15693.102,0.0
4.75,61387.0,15693.102,0.0
4.775,61387.0,15693.102,0.0
4.8,61387.0,15693.102,0.0
4.825,61405.0,15690.852,0.0
4.85,61405.0,15690.852,0.0
4.875,61405.0,15690.852,0.0
4.9,61456.0,15684.477,0.0
4.925,61508.0,15677.977,0.0
4.95,61508.0,15677.977,0.0
4.975,61552.0,15672.477,0.0
5.0,61593.0,15667.352,0.0
5.025,61612.0,15664.977,0.0
5.05,61612.0,15664.977,0.0
5.075,61621.0,15663.852,0.0
5.1,61621.0,15663.852,0.0
5.125,61621.0,15663.852,0.0
5.15,61682.0,15656.227,0.0
5.175,61682.0,15656.227,0.0
5.2,61682.0,15656.227,0.0
5.225,61682.0,15656.227,0.0
5.25,61695.0,15654.602,0.0
5.275,61695.0,15654.602,0.0
5.3,61695.0,15654.602,0.0
5.325,61695.0,15654.602,0.0
5.35,61695.0,15654.602,0.0
5.375,61810.0,15640.227,0.0
5.4,61810.0,15640.227,0.0
5.425,62019.0,15614.102,0.0
5.45,62024.0,15613.477,0.0
5.475,62057.0,15609.352,0.0
5.5,62057.0,15609.352,0.0
5.525,62057.0,15609.352,0.0
5.55,62057.0,15609.352,0.0
5.575,62057.0,15609.352,0.0
5.6,62057.0,15609.352,0.0
5.625,62061.0,15608.852,0.0
5.65,62061.0,15608.852,0.0
5.675,62061.0,15608.852,0.0
5.7,62061.0,15608.852,0.0
5.725,62061.0,15608.852,0.0
5.75,62061.0,15608.852,0.0
5.775,62071.0,15607.602,0.0
5.8,62071.0,15607.602,0.0
5.825,62083.0,15606.102,0.0
5.85,62083.0,15606.102,0.0
5.875,62083.0,15606.102,0.0
5.9,62158.0,15596.727,0.0
5.925,62209.0,15590.352,0.0
5.95,62319.0,15576.602,0.0
5.975,62319.0,15576.602,0.0
6.0,62319.0,15576.602,0.0
6.025,62319.0,15576.602,0.0
6.05,62319.0,15576.602,0.0
6.075,62319.0,15576.602,0.0
6.1,62319.0,15576.602,0.0
6.125,62319.0,15576.602,0.0
6.15,62319.0,15576.602,0.0
6.175,62319.0,15576.602,0.0
6.2,62319.0,15576.602,0.0
6.225,62338.0,15574.227,0.0
6.25,62338.0,15574.227,0.0
6.275,62338.0,15574.227,0.0
6.3,62373.0,15569.852,0.0
6.325,62373.0,15569.852,0.0
6.35,62373.0,15569.852,0.0
6.375,62373.0,15569.852,0.0
6.4,62373.0,15569.852,0.0
6.425,62473.0,15557.352,0.0
6.45,62496.0,15554.477,0.0
6.475,62496.0,15554.477,0.0
6.5,62496.0,15554.477,0.0
6.525,62502.0,15553.727,0.0
6.55,62628.0,15537.977,0.0
6.575,62662.0,15533.727,0.0
6.6,62662.0,15533.727,0.0
6.625,62662.0,15533.727,0.0
6.65,62662.0,15533.727,0.0
6.675,62662.0,15533.727,0.0
6.7,62662.0,15533.727,0.0
6.725,62808.0,15515.477,0.0
6.75,62808.0,15515.477,0.0
6.775,62808.0,15515.477,0.0
6.8,62808.0,15515.477,0.0
6.825,62808.0,15515.477,0.0
6.85,62808.0,15515.477,0.0
6.875,62808.0,15515.477,0.0
6.9,62808.0,15515.477,0.0
