low,size,het,cost,DT,MP,CR
PL,large,HT-HM,21336.581361170003,48203.0,117959.99999999949,47183.9999999998
PL,medium,HM-HM,10529.954725319272,19900.0,38708.99999999962,15483.599999999846
PD,medium,HT-HM,7355.11557494375,16444.0,38273.99999999983,15309.599999999931
BaU,large,HM-HT,107527.57537914898,11540.0,99573.00000000007,79584.00000000004
DL,large,HM-HT,107609.03673771617,11433.0,98242.00000000006,78408.80000000006
DL,large,HM-HM,108455.48988655684,11429.0,97742.0,97742.0
BaU,medium,HM-HM,36949.23866587571,2585.0,22168.0,22168.0
BaU,large,HT-HM,90670.68004470656,9620.0,83212.00000000013,33284.80000000005
DL,large,HT-HT,90233.07025032718,7414.0,65359.999999999935,44087.39999999997
PL,small,HT-HM,6742.7441852405445,6643.0,16101.999999999958,12881.599999999966
BaU,small,HM-HT,6789.5405045670095,376.0,3188.0000000000005,2116.600000000001
PL,large,HT-HM,44988.5047526933,46966.0,103927.99999999948,80817.99999999956
PD,small,HM-HT,3139.5888420803954,2877.0,5788.999999999981,3495.3999999999933
PD,small,HT-HM,8136.901858143847,8009.0,17467.999999999916,13974.399999999932
BaU,medium,HT-HM,30139.425677604362,3064.0,26075.000000000025,10430.000000000013
BaU,large,HM-HT,106436.08177885707,11681.0,98215.00000000007,66852.80000000005
PD,medium,HM-HM,19501.510917493753,17557.0,36293.9999999997,29035.199999999764
BaU,small,HM-HM,6811.579303158989,344.0,2656.0000000000023,2124.800000000001
PD,medium,HM-HT,15595.857454122834,14763.0,34078.99999999988,24876.79999999991
PL,medium,HT-HT,10613.865715859587,17357.0,34810.000000000764,18628.8000000003
DL,small,HM-HT,6588.087393882941,349.0,2648.000000000001,2362.600000000001
DL,medium,HM-HM,36743.08839628355,2567.0,21993.999999999945,8797.599999999979
DL,medium,HM-HT,37003.49786401392,2555.0,21929.999999999975,18266.599999999984
PL,small,HM-HT,3026.4384544159684,2257.0,5087.999999999991,3721.5999999999967
PD,large,HM-HM,52621.560258908634,57384.0,143032.99999999948,114426.39999999964
BaU,small,HM-HM,6811.579303158989,344.0,2656.0,2656.0
PL,medium,HT-HT,12975.055611607173,11734.0,25113.00000000043,17549.000000000153
PL,large,HM-HM,53236.37449383226,44868.0,130517.0,130517.0
DL,large,HT-HM,90562.45314024422,7489.0,65667.99999999994,51383.59999999995
PD,medium,HM-HM,24758.250220536847,17557.0,36294.0,36294.0
BaU,medium,HT-HM,21098.978667644307,1702.0,15238.0,15238.0
BaU,medium,HT-HM,28896.249644075902,2386.0,20393.99999999999,16315.199999999993
PL,large,HM-HT,65694.21770792277,64475.0,149423.00000000253,112791.2000000009
PL,small,HT-HT,5598.561443833021,8809.0,19767.00000000036,10572.400000000143
BaU,large,HM-HM,108061.89625480326,11573.0,98834.0,98834.0
PL,small,HM-HM,4614.0875051022085,1712.0,3908.0,3908.0
BaU,large,HT-HM,90311.97037518842,7488.0,65903.99999999994,51648.39999999995
BaU,medium,HM-HM,36702.49952494036,2698.0,23018.999999999938,9207.599999999975
PL,small,HM-HT,3028.457321143641,2257.0,4713.9999999999845,3729.1999999999935
PD,medium,HT-HT,12789.412504895958,11636.0,25015.00000000043,17574.60000000016
PD,small,HT-HT,5805.278875759683,9501.0,20459.000000000517,10849.400000000207
DL,large,HM-HT,108015.63760972,11467.0,97535.00000000007,81310.40000000004
PD,large,HM-HT,65300.29371647662,64450.0,149371.00000000262,113063.80000000096
PD,large,HM-HT,40967.52386072792,65022.0,148269.00000000413,87374.60000000168
DL,large,HT-HM,51919.86034437236,4352.0,36758.0,36758.0
PD,large,HT-HT,34847.951853826344,39743.0,108674.00000000166,77976.40000000066
BaU,medium,HT-HT,28972.777818733837,2897.0,26180.00000000004,19492.40000000002
PD,large,HM-HM,24837.887638178832,57384.0,143032.99999999948,57213.199999999815
PL,large,HT-HM,32055.377509604048,22083.0,54086.0,54086.0
DL,small,HT-HT,10461.75167132107,828.0,6809.000000000003,4441.399999999998
PD,large,HT-HT,43721.67558392524,52085.0,109620.00000000092,65702.60000000034
PD,large,HM-HT,54357.27870085998,62995.0,148747.00000000253,108001.8000000009
PL,small,HT-HM,7213.296491533892,5729.0,12728.0,12728.0
PL,large,HM-HM,42101.9724667496,44868.0,130516.99999999977,104413.59999999986
PD,small,HT-HM,3647.662649288963,7230.0,15914.999999999894,6365.999999999958
BaU,large,HT-HT,89999.60021584941,7551.0,66636.99999999994,45039.39999999997
DL,medium,HM-HT,36292.28834848907,2583.0,22475.999999999967,17782.59999999998
DL,medium,HT-HM,30425.586595005137,2930.0,25194.00000000002,10077.600000000008
PD,large,HT-HT,32358.56778484585,26502.0,60502.00000000039,45849.400000000125
PD,small,HT-HT,6834.2626137065845,7519.0,16794.000000000393,11012.00000000015
BaU,large,HT-HM,51361.70240588018,4419.0,37058.0,37058.0
PD,small,HM-HM,4621.154018599451,1704.0,3900.0,3900.0
PL,medium,HM-HT,15265.251425116236,17896.0,36758.999999999935,22797.199999999946
PD,small,HT-HM,6765.15989218876,5250.0,12249.0,12249.0
PD,large,HT-HM,47253.667972010095,47341.0,104293.99999999939,81194.3999999995
